time,open,high,low,close,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,MACD,Signal Line,Histogram,Cross
2019-03-25,4.3965,4.54375,4.27775,4.489,2640250160,51.18947943495858,40.344820244776706,NaN,NaN,NaN,NaN,-0.2802591504035412,-0.4823286199376573,0.2020694695341161,NaN
2019-04-01,4.5815,4.79125,4.5093625,4.77375,2652645760,55.271098789987185,42.14121347893594,NaN,NaN,NaN,NaN,-0.20665557799679934,-0.43435195077643624,0.2276963727796369,NaN
2019-04-08,4.743,4.83675,4.689,4.75025,2155247040,54.863352315267484,43.83727642423828,NaN,NaN,NaN,NaN,-0.14850855599155377,-0.38254222415346256,0.2340336681619088,NaN
2019-04-15,4.7425,4.7615,4.5775,4.6575,1567048320,53.19535045646967,45.06475335483035,NaN,NaN,NaN,NaN,-0.10865822757158661,-0.33117388181051094,0.22251565423892433,NaN
2019-04-22,4.63375,4.82025,4.3325,4.45225,2313282200,49.60147740084352,45.82196389834841,NaN,NaN,NaN,NaN,-0.09257140926452756,-0.28296593402830644,0.19039452476377888,NaN
2019-04-29,4.46025,4.62175,4.3875,4.57525,1840631040,51.70709275178957,46.64412892838447,NaN,NaN,NaN,NaN,-0.06910086604088317,-0.2360860845867189,0.16698521854583573,NaN
2019-05-06,4.3875,4.5085,4.1,4.2205,2626306880,45.76793904574862,47.30578191288084,NaN,NaN,NaN,NaN,-0.07822393484240564,-0.19263792807736438,0.11441399323495874,NaN
2019-05-13,4.0875,4.11075,3.8735,3.91325,3487267760,41.33910243441613,47.55317171389803,NaN,NaN,NaN,NaN,-0.10899016897644831,-0.1593447489790936,0.05035458000264528,NaN
2019-05-20,3.81375,3.8925,3.622,3.62875,2209214480,37.7011427726829,47.28172982505868,NaN,NaN,NaN,NaN,-0.15454787185666508,-0.13861286254937924,-0.015935009307285836,-0.13861286254937924
2019-05-28,3.6465,3.6795,3.38475,3.3865,1772174840,34.885917310685,46.75688122479869,NaN,NaN,NaN,NaN,-0.2078047858299774,-0.1305623775967611,-0.07724240823321632,NaN
2019-06-03,3.39775,3.672,3.315,3.6375,2389090000,39.8939959816223,46.64882030520855,NaN,NaN,NaN,NaN,-0.2271393505004644,-0.13283835231939056,-0.09430099818107385,NaN
2019-06-10,3.694,3.809,3.5709,3.616,1848050160,39.61294650230885,46.64726764068114,NaN,NaN,NaN,NaN,-0.24141413079215202,-0.14316119396390148,-0.09825293682825054,NaN
2019-06-17,3.61425,3.93325,3.59125,3.794,1974197600,43.18180171603624,46.331464904539246,NaN,NaN,NaN,NaN,-0.2356474870800307,-0.15727111168706193,-0.07837637539296877,NaN
2019-06-24,3.8155,4.13425,3.768,4.10575,2021996040,48.88011239027564,46.22077209307799,NaN,NaN,NaN,NaN,-0.20357507406249908,-0.16960485222016983,-0.03397022184232926,NaN
2019-07-01,4.31425,4.34875,3.942,4.00575,1754948720,47.24337937703789,45.93890780322651,NaN,NaN,NaN,NaN,-0.18410437925887768,-0.18238302035550255,-0.0017213589033751309,NaN
2019-07-08,3.94575,4.26175,3.875,4.19025,2313674400,50.5343955796675,45.60057185963225,NaN,NaN,NaN,NaN,-0.15203355707075383,-0.1905840894919857,0.03855053242123185,-0.1905840894919857
2019-07-15,4.2115,4.31775,4.1210625,4.211,1767562680,50.905327182254084,45.317855778702715,NaN,NaN,NaN,NaN,-0.12351899772597541,-0.1921984037974887,0.0686794060715133,NaN
2019-07-22,4.2325,4.47225,4.225,4.37675,1777211960,53.880390779451105,45.366787230344244,NaN,NaN,NaN,NaN,-0.08654868487492795,-0.1846429385772957,0.09809425370236774,NaN
2019-07-29,4.3695,4.3985,3.982,4.02975,1654909880,47.403941634175325,45.20982038986794,NaN,NaN,NaN,NaN,-0.08427794193037563,-0.17091773369956215,0.08663979176918651,NaN
2019-08-05,3.845,3.95775,3.7225,3.8545,1974105520,44.49502727562939,44.6946728558565,NaN,NaN,NaN,NaN,-0.09551849441620597,-0.15629319413464454,0.060774699718438574,NaN
2019-08-12,3.802,4.0385,3.68485,3.989,2629441400,47.17426335918485,44.79512459253052,NaN,NaN,NaN,NaN,-0.09250732050150123,-0.1397479929912389,0.04724067248973768,NaN
2019-08-19,4.103,4.33625,4.041,4.061,2581009000,48.604471743522005,45.31407954318094,NaN,NaN,NaN,NaN,-0.08335033443725681,-0.12282608714204181,0.039475752704785,NaN
2019-08-26,4.14025,4.2715,3.975,4.18775,1515253360,51.1137050110378,46.27211970306343,NaN,NaN,NaN,NaN,-0.06511508513407627,-0.10744164392777261,0.042326558793696345,NaN
2019-09-03,4.1145,4.52725,4.0813,4.46625,1598092920,56.176440807952496,47.79287138143969,NaN,NaN,NaN,NaN,-0.027869632430626012,-0.09008222761352243,0.062212595182896416,NaN
2019-09-09,4.4975,4.71,4.46975,4.5485,1784281280,57.57386108279931,49.05571888866662,NaN,NaN,NaN,NaN,0.008190134017154627,-0.0722795952704215,0.08046972928757613,NaN
2019-09-16,4.473,4.54,4.307,4.31725,1337937200,52.50457225360919,49.97654929947379,NaN,NaN,NaN,NaN,0.017901459478895987,-0.05656621113654692,0.0744676706154429,NaN
2019-09-23,4.3175,4.4755,4.233,4.294,1493959440,52.00875228334218,50.60704576856706,NaN,NaN,NaN,NaN,0.02345134171269425,-0.044343985960144466,0.06779532767283872,NaN
2019-09-30,4.32,4.57875,4.25325,4.54925,1587117640,56.828771547741,51.17480713695745,NaN,NaN,NaN,NaN,0.04789411164843216,-0.029658202229165834,0.07755231387759799,NaN
2019-10-07,4.6145,4.7335,4.4125,4.64975,2023921760,58.59218457931782,51.98543607997744,NaN,NaN,NaN,NaN,0.07451572214909863,-0.010765511499687555,0.08528123364878619,NaN
2019-10-14,4.641,4.98225,4.609625,4.76225,1883015360,60.53547480051257,52.69979888146638,NaN,NaN,NaN,NaN,0.10349828624906099,0.011012889250374913,0.09248539699868608,NaN
