time,open,high,low,close,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,MACD,Signal Line,Histogram,Cross
2019-09-03,67.89,70.95,67.63,70.93,37144112,42.628259216805766,43.11708697806527,NaN,NaN,NaN,NaN,-2.1428565604512926,-1.320865384469973,-0.8219911759813197,NaN
2019-09-09,71.16,72.85,70.7,72.64,53614723,46.782127419097904,43.28258842533803,NaN,NaN,NaN,NaN,-1.9262458848023272,-1.4814445315590064,-0.4448013532433208,NaN
2019-09-16,75.04,75.18,71.855,72.08,70029964,45.617301891379654,43.39506823166492,NaN,NaN,NaN,NaN,-1.7792575106066835,-1.6161648183298953,-0.16309269227678813,NaN
2019-09-23,71.52,72.36,70.63,71.48,46840329,44.343337764913585,42.89942895259752,NaN,NaN,NaN,NaN,-1.691682487967853,-1.7328127373859512,0.041130249418098286,-1.7328127373859512
2019-09-30,71.24,71.45,66.305,68.97,59598089,39.38774230318849,42.20493400811277,NaN,NaN,NaN,NaN,-1.8040190658095838,-1.8290971125419635,0.025078046732379677,NaN
2019-10-07,68.7,69.49,66.64,68.98,49176129,39.416791270660006,41.58638417733737,NaN,NaN,NaN,NaN,-1.8706757115168102,-1.9001754070844201,0.029499695567609896,NaN
2019-10-14,68.6,70,67.61,67.61,46736222,36.813724838956325,40.545647580811135,NaN,NaN,NaN,NaN,-2.0108690867972143,-1.9403249684448332,-0.07054411835238117,-1.9403249684448332
2019-10-21,67.82,70.05,67.82,69.25,45375731,41.77108682898975,40.25440772388965,NaN,NaN,NaN,NaN,-1.9669651034779037,-1.9340693386578778,-0.032895764820025875,NaN
2019-10-28,69.46,69.67,67.14,69.6,68222370,42.802455984265734,40.062538911285365,NaN,NaN,NaN,NaN,-1.8822316110940704,-1.897200335835971,0.014968724741900585,-1.897200335835971
2019-11-04,70.07,73.12,69.94,70.77,69966411,46.23100137872793,40.523763857829444,NaN,NaN,NaN,NaN,-1.70106170553872,-1.848112018623463,0.14705031308474292,NaN
2019-11-11,70.21,70.61,68.18,69.19,57172428,42.52400162297253,40.83008818900841,NaN,NaN,NaN,NaN,-1.6657740392997624,-1.8191707024565114,0.15339666315674894,NaN
2019-11-18,68.7,70.18,67.32,69.37,65869239,43.08391951217566,41.46086416861666,NaN,NaN,NaN,NaN,-1.6047848530521378,-1.7997848516171173,0.19499999856497952,NaN
2019-11-25,69.37,69.44,68,68.13,42510378,40.18001845543451,41.96871212290591,NaN,NaN,NaN,NaN,-1.637630535017081,-1.7937790790670316,0.1561485440499506,NaN
2019-12-02,68.5,69.87,67.52,69.51,61859945,44.65114855167421,42.58806550280299,NaN,NaN,NaN,NaN,-1.5346164051033782,-1.7638454500996754,0.22922904499629726,NaN
2019-12-09,69.08,70.54,68.67,69.23,69790285,43.933632252923566,42.68130643395427,NaN,NaN,NaN,NaN,-1.4587550052552842,-1.7180764827372836,0.2593214774819994,NaN
2019-12-16,69.7,70.38,69.24,69.94,91691457,46.290500171482165,42.64619020198171,NaN,NaN,NaN,NaN,-1.3260572702716757,-1.6419862809011125,0.3159290106294368,NaN
2019-12-23,69.86,70.5,69.53,69.89,37514018,46.14339136468468,42.6837680215035,NaN,NaN,NaN,NaN,-1.2109686486147524,-1.557986674805207,0.3470180261904545,NaN
2019-12-30,70.09,71.37,69.01,70.33,55646758,47.71797789311733,42.924813744946626,NaN,NaN,NaN,NaN,-1.0718995729734075,-1.4679497816806888,0.39605020870728125,NaN
